Ticker,Code,Name
BANFP,GOOG/NASDAQ_BANFP,BancFirst Corporation
BKMU,GOOG/NASDAQ_BKMU,Bank Mutual Corporation
BOCH,GOOG/NASDAQ_BOCH,Bank of Commerce Holdings (CA)
BMRC,GOOG/NASDAQ_BMRC,Bank of Marin Bancorp
BKSC,GOOG/NASDAQ_BKSC,Bank of South Carolina Corp.
BOTJ,GOOG/NASDAQ_BOTJ,"Bank of the James Financial Group, Inc."
OZRK,GOOG/NASDAQ_OZRK,Bank of the Ozarks
BFIN,GOOG/NASDAQ_BFIN,BankFinancial Corporation
BWFG,GOOG/NASDAQ_BWFG,"Bankwell Financial Group, Inc."
BANR,GOOG/NASDAQ_BANR,Banner Corporation
TAPR,GOOG/NASDAQ_TAPR,Barclays Inverse US Treasury Composite ETN
BBSI,GOOG/NASDAQ_BBSI,"Barrett Business Services, Inc."
BSET,GOOG/NASDAQ_BSET,"Bassett Furniture Industries, Incorporated"
BYBK,GOOG/NASDAQ_BYBK,"Bay Bancorp, Inc."
BYLK,GOOG/NASDAQ_BYLK,Baylake Corp
BV,GOOG/NASDAQ_BV,"Bazaarvoice, Inc."
BBCN,GOOG/NASDAQ_BBCN,"BBCN Bancorp, Inc."
BCBP,GOOG/NASDAQ_BCBP,"BCB Bancorp, Inc. (NJ)"
BDCV,GOOG/NASDAQ_BDCV,"BDCA Venture, Inc."
BECN,GOOG/NASDAQ_BECN,"Beacon Roofing Supply, Inc."
BSF,GOOG/NASDAQ_BSF,"Bear State Financial, Inc."
BBGI,GOOG/NASDAQ_BBGI,"Beasley Broadcast Group, Inc."
BEBE,GOOG/NASDAQ_BEBE,"bebe stores, inc."
BBBY,GOOG/NASDAQ_BBBY,Bed Bath & Beyond Inc.
BELFA,GOOG/NASDAQ_BELFA,Bel Fuse Inc.
BELFB,GOOG/NASDAQ_BELFB,Bel Fuse Inc.
BNCL,GOOG/NASDAQ_BNCL,"Beneficial Mutual Bancorp, Inc."
BNFT,GOOG/NASDAQ_BNFT,"Benefitfocus, Inc."
BGMD,GOOG/NASDAQ_BGMD,"BG Medicine, Inc."
BGCP,GOOG/NASDAQ_BGCP,"BGC Partners, Inc."
BGFV,GOOG/NASDAQ_BGFV,Big 5 Sporting Goods Corporation
BIND,GOOG/NASDAQ_BIND,"BIND Therapeutics, Inc."
ORPN,GOOG/NASDAQ_ORPN,Bio Blast Pharma Ltd.
BASI,GOOG/NASDAQ_BASI,"Bioanalytical Systems, Inc."
BIOC,GOOG/NASDAQ_BIOC,"Biocept, Inc."
BCRX,GOOG/NASDAQ_BCRX,"BioCryst Pharmaceuticals, Inc."
BIOD,GOOG/NASDAQ_BIOD,Biodel Inc.
BDSI,GOOG/NASDAQ_BDSI,"BioDelivery Sciences International, Inc."
BIIB,GOOG/NASDAQ_BIIB,Biogen Idec Inc.
BIOL,GOOG/NASDAQ_BIOL,"Biolase, Inc."
BLFS,GOOG/NASDAQ_BLFS,"BioLife Solutions, Inc."
BLRX,GOOG/NASDAQ_BLRX,BioLineRx Ltd.
BMRN,GOOG/NASDAQ_BMRN,BioMarin Pharmaceutical Inc.
BPTH,GOOG/NASDAQ_BPTH,"Bio-Path Holdings, Inc."
BRLI,GOOG/NASDAQ_BRLI,"Bio-Reference Laboratories, Inc."
BIOS,GOOG/NASDAQ_BIOS,"BioScrip, Inc."
BSTC,GOOG/NASDAQ_BSTC,BioSpecifics Technologies Corp
BSPM,GOOG/NASDAQ_BSPM,"Biostar Pharmaceuticals, Inc."
BOTA,GOOG/NASDAQ_BOTA,"Biota Pharmaceuticals, Inc."
TECH,GOOG/NASDAQ_TECH,Bio-Techne Corp
BEAT,GOOG/NASDAQ_BEAT,"BioTelemetry, Inc."
BDMS,GOOG/NASDAQ_BDMS,"Birner Dental Management Services, Inc."
BJRI,GOOG/NASDAQ_BJRI,"BJ&#39;s Restaurants, Inc."
BBOX,GOOG/NASDAQ_BBOX,Black Box Corporation
BDE,GOOG/NASDAQ_BDE,"Black Diamond, Inc."
BLKB,GOOG/NASDAQ_BLKB,"Blackbaud, Inc."
BBRY,GOOG/NASDAQ_BBRY,BlackBerry Limited
HAWK,GOOG/NASDAQ_HAWK,"Blackhawk Network Holdings, Inc."
HAWKB,GOOG/NASDAQ_HAWKB,"Blackhawk Network Holdings, Inc."
