Ticker,Code,Name
CSX,GOOG/NYSE_CSX,CSX Corp.
BHI,GOOG/NYSE_BHI,Baker Hughes Inc.
JCI,GOOG/NYSE_JCI,Johnson Controls Inc.
COF,GOOG/NYSE_COF,Capital One Financial Corp.
LYG,GOOG/NYSE_LYG,Lloyds Banking Group PLC
MFC,GOOG/NYSE_MFC,Manulife Financial Corp.
AFL,GOOG/NYSE_AFL,AFLAC Inc.
COH,GOOG/NYSE_COH,Coach Inc.
NOK,GOOG/NYSE_NOK,Nokia Corp.
TMO,GOOG/NYSE_TMO,Thermo Fisher Scientific Inc.
SNE,GOOG/NYSE_SNE,Sony Corp.
GD,GOOG/NYSE_GD,General Dynamics Corp.
GLW,GOOG/NYSE_GLW,Corning Inc.
PHG,GOOG/NYSE_PHG,Koninklijke Philips Electronics N.V.
PC,GOOG/NYSE_PC,Panasonic Corp.
CMI,GOOG/NYSE_CMI,Cummins Inc.
LVS,GOOG/NYSE_LVS,Las Vegas Sands Corp.
EP,GOOG/NYSE_EP,El Paso Corp.
SE,GOOG/NYSE_SE,Spectra Energy Corp.
HES,GOOG/NYSE_HES,Hess Corp.
BBT,GOOG/NYSE_BBT,BB&T Corp.
MCK,GOOG/NYSE_MCK,McKesson Corp.
STT,GOOG/NYSE_STT,State Street Corp.
BLK,GOOG/NYSE_BLK,BlackRock Inc.
MT,GOOG/NYSE_MT,ArcelorMittal
HDB,GOOG/NYSE_HDB,HDFC Bank Ltd.
ADM,GOOG/NYSE_ADM,Archer Daniels Midland Co.
NTT,GOOG/NYSE_NTT,Nippon Telegraph & Telephone Corp.
TCK,GOOG/NYSE_TCK,Teck Resources Ltd.
PSA,GOOG/NYSE_PSA,Public Storage
CB,GOOG/NYSE_CB,Chubb Corp.
SNP,GOOG/NYSE_SNP,China Petroleum & Chemical Corp.
CBS,GOOG/NYSE_CBS,CBS Corp. Cl B
NBL,GOOG/NYSE_NBL,Noble Energy Inc.
FE,GOOG/NYSE_FE,FirstEnergy Corp.
APD,GOOG/NYSE_APD,Air Products & Chemicals Inc.
AEP,GOOG/NYSE_AEP,American Electric Power Co. Inc.
MOS,GOOG/NYSE_MOS,Mosaic Co.
BEN,GOOG/NYSE_BEN,Franklin Resources Inc.
BAM,GOOG/NYSE_BAM,Brookfield Asset Management Inc. Cl A
RTN,GOOG/NYSE_RTN,Raytheon Co.
CRM,GOOG/NYSE_CRM,Salesforce.com Inc.
LO,GOOG/NYSE_LO,Lorillard Inc.
SHG,GOOG/NYSE_SHG,Shinhan Financial Group Co. Ltd.
ETN,GOOG/NYSE_ETN,Eaton Corp.
NMR,GOOG/NYSE_NMR,Nomura Holdings Inc.
SYY,GOOG/NYSE_SYY,Sysco Corp.
MMC,GOOG/NYSE_MMC,Marsh & McLennan Cos.
HNZ,GOOG/NYSE_HNZ,H.J. Heinz Co.
WMB,GOOG/NYSE_WMB,Williams Cos.
ED,GOOG/NYSE_ED,Consolidated Edison Inc.
EQR,GOOG/NYSE_EQR,Equity Residential
AET,GOOG/NYSE_AET,Aetna Inc.
ECL,GOOG/NYSE_ECL,Ecolab Inc.
PCG,GOOG/NYSE_PCG,PG&E Corp.
CHK,GOOG/NYSE_CHK,Chesapeake Energy Corp.
PPL,GOOG/NYSE_PPL,PPL Corp.
AU,GOOG/NYSE_AU,AngloGold Ashanti Ltd.
DFS,GOOG/NYSE_DFS,Discover Financial Services
RIG,GOOG/NYSE_RIG,Transocean Ltd.
AV,GOOG/NYSE_AV,Aviva PLC
VTR,GOOG/NYSE_VTR,Ventas Inc.
NLY,GOOG/NYSE_NLY,Annaly Capital Management Inc.
SYK,GOOG/NYSE_SYK,Stryker Corp.
PSO,GOOG/NYSE_PSO,Pearson PLC
IBN,GOOG/NYSE_IBN,ICICI Bank Ltd.
MJN,GOOG/NYSE_MJN,Mead Johnson Nutrition Co.
BDX,GOOG/NYSE_BDX,Becton Dickinson & Co.
HCP,GOOG/NYSE_HCP,HCP Inc.
KYO,GOOG/NYSE_KYO,Kyocera Corp.
M,GOOG/NYSE_M,Macy's Inc.
CRH,GOOG/NYSE_CRH,CRH PLC
PGN,GOOG/NYSE_PGN,Progress Energy Inc.
GR,GOOG/NYSE_GR,Goodrich Corp.
VNO,GOOG/NYSE_VNO,Vornado Realty Trust
TEL,GOOG/NYSE_TEL,TE Connectivity Ltd.
PLD,GOOG/NYSE_PLD,ProLogis Inc.
AON,GOOG/NYSE_AON,AON Corp.
PEG,GOOG/NYSE_PEG,Public Service Enterprise Group Inc.
MPC,GOOG/NYSE_MPC,Marathon Petroleum Corp.
GM,GOOG/NYSE_GM,General Motors Co.
FMS,GOOG/NYSE_FMS,Fresenius Medical Care AG & Co. KGaA
LYB,GOOG/NYSE_LYB,LyondellBasell Industries N.V. Cl A
BXP,GOOG/NYSE_BXP,Boston Properties Inc.
ALL,GOOG/NYSE_ALL,Allstate Corp.
A,GOOG/NYSE_A,Agilent Technologies Inc.
RCI,GOOG/NYSE_RCI,Rogers Communications Inc. Cl B
TLM,GOOG/NYSE_TLM,Talisman Energy Inc.
ECA,GOOG/NYSE_ECA,EnCana Corp.
NOC,GOOG/NYSE_NOC,Northrop Grumman Corp.
HUM,GOOG/NYSE_HUM,Humana Inc.
CAH,GOOG/NYSE_CAH,Cardinal Health Inc.
WM,GOOG/NYSE_WM,Waste Management Inc.
KB,GOOG/NYSE_KB,KB Financial Group Inc.
PXD,GOOG/NYSE_PXD,Pioneer Natural Resources Co.
MSI,GOOG/NYSE_MSI,Motorola Solutions Inc.
PPG,GOOG/NYSE_PPG,PPG Industries Inc.
STJ,GOOG/NYSE_STJ,St. Jude Medical Inc.
RAI,GOOG/NYSE_RAI,Reynolds American Inc.
SCHW,GOOG/NYSE_SCHW,Charles Schwab Corp.
VLO,GOOG/NYSE_VLO,Valero Energy Corp.
CAM,GOOG/NYSE_CAM,Cameron International Corp.
BRFS,GOOG/NYSE_BRFS,BRF-Brazil Foods S/A
SLW,GOOG/NYSE_SLW,Silver Wheaton Corp.
PH,GOOG/NYSE_PH,Parker Hannifin Corp.
L,GOOG/NYSE_L,Loews Corp.
MHP,GOOG/NYSE_MHP,McGraw-Hill Cos.
